"
가 v-comp-ae_irule 가
가 v-hay_irule 가
가 v-sub-udef_irule 가
가까와 v-comp-ae_irule 가깝
가까와 v-hay_irule 가깝
가까와 v-sub-udef_irule 가깝
가까왔 v-pst_irule 가깝
가까우니 v-inter-infm_irule 가깝
가까우니 v-sub-reason_irule 가깝
가까우니까 v-sub-reason_irule 가깝
가까우며 v-sub-time_irule 가깝	
가까우면 v-sub-cond_irule 가깝
가까우면서 v-sub-time_irule 가깝
가까운 v-mod-pst_irule 가깝
가까운가 v-com-na_irule 가깝
가까운데 v-sub-udef_irule 가깝
가까운지 v-sub-time_irule 가깝
가까울 v-mod-fut_irule 가깝
가까울수록 v-sub-udef_irule 가깝
가까울지 v-sub-udef_irule 가깝
가까움 v-ger-um_irule 가깝
가까워 v-comp-ae_irule 가깝
가까워 v-hay_irule 가깝
가까워 v-sub-udef_irule 가깝
가까워서 v-sub-reason_irule 가깝
가까워야 v-comp-eya_irule 가깝
가까웠 v-pst_irule 가깝
가까웠었 v-pst_irule 가깝
가까이하여 v-comp-ae_irule 가까이하
가까이하여 v-sub-udef_irule 가까이하
가까이할 v-mod-fut_irule 가까이하
가꾸신 v-mod-pst_irule 가꾸시
가꾸신 v-nonst-pres_irule 가꾸시
가꾼 v-mod-pst_irule 가꾸
가꾼 v-nonst-pres_irule 가꾸
가꿀 v-mod-fut_irule 가꾸
가꿔 v-comp-ae_irule 가꾸
가꿔 v-hay_irule 가꾸
가꿔 v-sub-udef_irule 가꾸
가꿔야 v-comp-eya_irule 가꾸
가냐픈 v-mod-pst_irule 가냐프
가냘퍼 v-comp-ae_irule 가냘프
가냘퍼 v-hay_irule 가냘프
가냘퍼 v-sub-udef_irule 가냘프
가냘픈 v-mod-pst_irule 가냘프
가냘플수록 v-sub-udef_irule 가냘프
가녀린 v-mod-pst_irule 가녀리
가눌 v-mod-fut_irule 가누
가느다란 v-mod-pst_irule 가느다랗
가느다란데 v-sub-udef_irule 가느다랗
가느란 v-mod-pst_irule 가느랗
가는 v-mod-pres_irule 갈
가는 v-mod-pst_irule 가늘
가능케한 v-mod-pst_irule 가능하게하
가능케한 v-nonst-pres_irule 가능하게하
가능해 v-comp-ae_irule 가능하
가능해 v-hay_irule 가능하
가능해 v-sub-udef_irule 가능하
